Data,Cliente,Telefone,Servico,Barbeiro,Comissao_Pct,Valor,Gorjeta,Comissao_Barbeiro,Status,Forma_Pagamento
2026-04-25 16:45,Tiago Santos,(61) 99754-1011,Corte infantil,Marcos,0.45,39,0,17.55,Agendado,
2026-04-25 11:45,Bruno Ferreira,(61) 98323-2640,Corte infantil,Marcos,0.45,37,0,16.65,Agendado,
2026-04-25 09:30,Miguel Santos,(61) 98135-2841,Pezinho,Jr (aprendiz),0.3,16,0,4.8,Agendado,
2026-04-24 19:45,Benjamin Costa,(61) 99494-6296,Combo Premium (VIP),Léo,0.4,91,0,36.4,Agendado,
2026-04-24 19:30,Otávio Guimarães,(61) 98858-3824,Relaxamento,Marcos,0.45,96,0,43.2,Agendado,
2026-04-24 18:30,Rafael Almeida,(61) 99820-8708,Corte masculino,Tiago (Dono),0.0,45,0,0.0,Agendado,
2026-04-24 14:30,Bernardo Silva,(61) 98469-2383,Corte + Barba,Léo,0.4,77,0,30.8,Agendado,
2026-04-24 11:15,Samuel Freitas,(61) 99610-3660,Barba completa,Tiago (Dono),0.0,41,0,0.0,Agendado,
2026-04-24 11:15,Josué Carvalho,(61) 98125-4437,Combo Premium (VIP),Tiago (Dono),0.0,138,0,0.0,Agendado,
2026-04-24 09:45,Vinícius Ramos,(61) 99861-5344,Sobrancelha,Léo,0.4,32,0,12.8,Agendado,
2026-04-24 09:15,Lorenzo Fernandes,(61) 98262-9497,Pezinho,Tiago (Dono),0.0,17,0,0.0,Agendado,
2026-04-23 12:00,Erick Campos,(61) 98522-9335,Corte infantil,Jr (aprendiz),0.3,36,0,10.8,Agendado,
2026-04-23 10:45,Rafael Almeida,(61) 98819-2639,Corte masculino,Jr (aprendiz),0.3,47,0,14.1,Agendado,
2026-04-23 10:45,Samuel Freitas,(61) 98850-4129,Relaxamento,Léo,0.4,92,0,36.8,Agendado,
2026-04-23 10:15,Arthur Pinto,(61) 98333-4434,Relaxamento,Tiago (Dono),0.0,116,0,0.0,Agendado,
2026-04-22 18:15,Felipe Correia,(61) 98371-2653,Barba completa,Léo,0.4,36,0,14.4,Agendado,
2026-04-22 16:00,Bernardo Silva,(61) 99776-4417,Pigmentação de barba,Jr (aprendiz),0.3,61,0,18.3,Agendado,
2026-04-22 15:00,Cesar Ribeiro,(61) 98421-7234,Combo Premium (VIP),Marcos,0.45,115,0,51.75,Agendado,
2026-04-22 14:30,Levi Pereira,(61) 98413-5963,Pezinho,Marcos,0.45,25,0,11.25,Agendado,
